LA,LS,HR,Predicted,Z,Model_Season,Predict_Season
"(25,30]","(90,95]",77,76.8638676347686,0.01552745479219212,2017,2019
"(25,30]","(95,100]",465,505.289901764326,-1.7923627065013208,2017,2019
"(25,30]","(100,105]",1170,1152.567687089217,0.5134779433668464,2017,2019
"(25,30]","(105,110]",577,573.083798034746,0.16358972253268247,2017,2019
"(25,30]","(110,115]",125,123.59812347113754,0.12609673046724057,2017,2019
"(30,35]","(90,95]",99,86.63553192313488,1.3283955574347384,2017,2019
"(30,35]","(95,100]",357,396.41221181064407,-1.9795081570712645,2017,2019
"(30,35]","(100,105]",658,693.5711115268767,-1.35067834927706,2017,2019
"(30,35]","(105,110]",338,352.5144624473106,-0.7730587255584416,2017,2019
"(30,35]","(110,115]",51,51.037324156609614,-0.005224515893938278,2017,2019
"(35,40]","(90,95]",37,28.684391557088293,1.552641572648325,2017,2019
"(35,40]","(95,100]",126,149.91077025541813,-1.9528871545708986,2017,2019
"(35,40]","(100,105]",235,274.7425758230614,-2.397689981736414,2017,2019
"(35,40]","(105,110]",99,121.44745835174201,-2.0369152482081994,2017,2019
"(35,40]","(110,115]",11,11.066862682562913,-0.02009886513625252,2017,2019
"(40,45]","(90,95]",4,5.115308988719159,-0.493127549889658,2017,2019
"(40,45]","(95,100]",24,27.14382458014642,-0.6034242859511965,2017,2019
"(40,45]","(100,105]",44,38.82741672547209,0.8301149640473227,2017,2019
"(40,45]","(105,110]",18,20.761027677543627,-0.6059633201433731,2017,2019
"(40,45]","(110,115]",4,2.721394773238827,0.7750695983343557,2017,2019
"(15,20]","(90,95]",0,0.2599556427688582,-0.5098584536602863,2017,2020
"(15,20]","(95,100]",1,2.1062591651834204,-0.762256221559658,2017,2020
"(15,20]","(100,105]",6,24.67857273244428,-3.75996384055613,2017,2020
"(15,20]","(105,110]",46,74.32141058812482,-3.285170454614421,2017,2020
"(15,20]","(110,115]",23,37.0004657765358,-2.3016479083007235,2017,2020
"(20,25]","(90,95]",3,5.17816054153085,-0.9571987676766692,2017,2020
"(20,25]","(95,100]",42,65.59895119322833,-2.9136961099760206,2017,2020
"(20,25]","(100,105]",194,301.2556577474012,-6.179489584413569,2017,2020
"(20,25]","(105,110]",239,275.73623376153455,-2.2123188015975774,2017,2020
"(20,25]","(110,115]",52,57.15549194757032,-0.6819320924506486,2017,2020
"(25,30]","(90,95]",18,26.950050254488865,-1.7240334356048228,2017,2020
"(25,30]","(95,100]",164,172.7854030756701,-0.6683564853542499,2017,2020
"(25,30]","(100,105]",403,415.99748600361323,-0.6372561059405673,2017,2020
"(25,30]","(105,110]",238,234.41995239638072,0.23382530782461147,2017,2020
"(25,30]","(110,115]",39,38.53849957303916,0.07434036790646914,2017,2020
"(30,35]","(90,95]",32,31.788672279633797,0.03748178573639156,2017,2020
"(30,35]","(95,100]",147,145.36014799138476,0.13601348796100485,2017,2020
"(30,35]","(100,105]",235,255.38454252167202,-1.2755681466054494,2017,2020
"(30,35]","(105,110]",132,131.4303678147967,0.04968744417528861,2017,2020
"(30,35]","(110,115]",19,18.707832747272775,0.06754913586341264,2017,2020
"(35,40]","(90,95]",12,11.599382223647327,0.1176285615749339,2017,2020
"(35,40]","(95,100]",60,57.156092692420245,0.3761700122537455,2017,2020
"(35,40]","(100,105]",75,101.29768778170049,-2.6128699776471906,2017,2020
"(35,40]","(105,110]",51,49.81825617304577,0.16742838250122127,2017,2020
"(35,40]","(110,115]",5,4.674645806102706,0.15048113357726203,2017,2020
"(40,45]","(90,95]",1,1.7797747871889185,-0.58450289128465,2017,2020
"(40,45]","(95,100]",13,10.918708338291832,0.6298647611655751,2017,2020
"(40,45]","(100,105]",17,17.34475168108763,-0.08277941430543619,2017,2020
"(40,45]","(105,110]",15,10.03942619268912,1.565587950640581,2017,2020
"(15,20]","(90,95]",0,0.6781188771739234,-0.8234797369540573,2017,2021
"(15,20]","(95,100]",2,6.338319884489984,-1.7231952731131313,2017,2021
